,keywords,relevance,paper
732,folds,0.1749,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
589,local search,0.1746,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1330,distortion type,0.1742,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
664,aerospace sectors,0.1736,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1047,horizontal scalabilities,0.1735,Predictive Hybrid Autoscaling for Containerized Applications
1369,suitable fea,0.173,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1532,digital object identifier,0.1729,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
530,cepstral subtraction,0.1728,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1209,vate data,0.1728,Physical layer security techniques for data transmission for future wireless networks
349,qatar national library,0.1726,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1571,carnegie mellon university,0.1725,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
1572,vast number,0.1724,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
1594,learn,0.1724,Particle-based fast jet simulation at the LHC with variational autoencoders
792,azimuthal phase dependence,0.1724,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
1468,outages,0.1718,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
590,execution time,0.1717,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
888,wf plates,0.1717,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
492,iccwcs,0.1716,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
1508,large arrays,0.1715,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
1509,energy efﬁciencies,0.171,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
1168,data,0.171,Concretely efficient secure multi-party computation protocols: survey and more
450,conceptual framework,0.1702,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1311,accurate services,0.17,Implicit privacy preservation: a framework based on data generation
268,nfv,0.1696,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
1650,survey pipelines,0.1696,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
986,ﬂexible communications,0.1693,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
470,route,0.169,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
230,historical data,0.1684,Detection of Cluster Anomalies With ML Techniques
1151,data,0.1683,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
1128,same validation accuracy,0.1683,Multilevel minimization for deep residual networks
412,resource tradeoffs,0.1681,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
72,better understanding,0.168,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1152,nids,0.1679,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
987,project mec80190074,0.1678,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
828,message,0.1673,Deep learning via message passing algorithms based on belief propagation
430,corresponding scales,0.167,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
168,configuration spaces,0.1666,A biology-informed similarity metric for simulated patches of human cell membrane
493,systems,0.1663,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
307,materials science,0.1663,Metric learning for kernel ridge regression: assessment of molecular similarity
972,spmlgen,0.1661,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1291,ml,0.1659,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
328,dynamic topology nature,0.1659,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
329,natural hazards,0.1645,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1632,prediction error,0.1643,Learning torsional eye movements through active efficient coding
1048,smallest entity,0.1643,Predictive Hybrid Autoscaling for Containerized Applications
1090,instance shape,0.1637,Goal-oriented adaptive sampling under random field modelling of response probability distributions
151,low power operation,0.1632, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
187,precision agriculture,0.1631,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1272,keys,0.1631,Secure transmission technology based on direct modulation with random channel characteristics
1391,physical dimension,0.1628,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1392,nance processes,0.1626,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
847,simple lightgbm model,0.1625,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
869,estimation quality,0.1622,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
911,virtual model,0.1621,Digital Twins for Micro Machining
651,leaves,0.1618,Learning tree structures from leaves for particle decay reconstruction
509,mc parameters construction,0.1618,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1008,tiledb,0.1613,Multi-Dimensional Data Compression and Query Processing in Array Databases
269,decomposition,0.1613,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
270,efﬁcient embedding,0.1612,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
1450,complex problem,0.1609,Ant colony optimization with semi random initialization for nurse rostering problem
91,digital surface model,0.1604, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1370,rupture properties,0.1603,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
471,attraction extraction method,0.1601,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
714,intrinsic high degree,0.1601,A duality connecting neural network and cosmological dynamics
188,noderivatives,0.1598,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1169,unrestricted use,0.159,Concretely efficient secure multi-party computation protocols: survey and more
973,huawei technologies russia,0.1589,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1009,seacow,0.1588,Multi-Dimensional Data Compression and Query Processing in Array Databases
632,hmc,0.1583,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
665,animal behavior,0.1582,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1573,equivariant set,0.1582,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
652,karlsruhe institute,0.158,Learning tree structures from leaves for particle decay reconstruction
1129,training cost,0.158,Multilevel minimization for deep residual networks
1153,signiﬁcant improvement,0.1577,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
550,bts database,0.1569,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1533,xr,0.1566,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
369,noderivatives,0.1562,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
1234,dempster,0.1551,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
770,target object,0.155,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
1469,data rate,0.1548,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
169,raf protein,0.1546,A biology-informed similarity metric for simulated patches of human cell membrane
608,conventional distribution,0.154,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
208,adni,0.1539,Neural network training with highly incomplete medical datasets
666,universidad autónoma de querétaro,0.1536,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
370,artiﬁcial intelligence innovation hub,0.1531,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
413,irregular patterns,0.153,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1312,measurable deﬁnition,0.1529,Implicit privacy preservation: a framework based on data generation
472,conferences,0.1526,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1210,phy,0.1526,Physical layer security techniques for data transmission for future wireless networks
570,text,0.1525,Non-negative Matrix Factorization for Dimensionality Reduction
988,dgi,0.1524,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1049,cation containers,0.1523,Predictive Hybrid Autoscaling for Containerized Applications
271,heavy load,0.1517,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
50,critical component,0.1515,Audiogram Digitization Tool for Audiological Reports
510,minimum euclidean distance,0.1515,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1034,sequences,0.1512,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
829,spin glass models,0.1508,Deep learning via message passing algorithms based on belief propagation
870,real instances,0.1506,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
667,possible execution efﬁciency,0.1505,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
249,comput,0.1505,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1112,luc pronzato,0.1503,Box-constrained optimization for minimax supervised learning
152,vmm,0.1497, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
1510,snns,0.1497,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
170,abstract,0.1496,A biology-informed similarity metric for simulated patches of human cell membrane
371,ghostleg,0.1484,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
689,classical equations,0.1484,Quantum neural networks force fields generation
771,frequency spectrum,0.1483,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
308,learn,0.1483,Metric learning for kernel ridge regression: assessment of molecular similarity
931,good solutions,0.1481,Management of tools in digital manufacturing - A case study
431,physics,0.1481,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
1091,engineering,0.1478,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1170,eﬃciency,0.1478,Concretely efficient secure multi-party computation protocols: survey and more
633,silico dataset,0.1477,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
949,reliability,0.1474,How to apply the ERP model for Smart Mining?
1451,performance comparison,0.1472,Ant colony optimization with semi random initialization for nurse rostering problem
1534,addition,0.1471,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
92,algorithm operators,0.1471, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
912,critical speed,0.1471,Digital Twins for Micro Machining
690,ab initio techniques,0.1467,Quantum neural networks force fields generation
250,artiﬁcial intelligence era,0.1465,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
932,sense,0.1464,Management of tools in digital manufacturing - A case study
1050,communications technology planning,0.1463,Predictive Hybrid Autoscaling for Containerized Applications
668,structural length index,0.1459,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1273,mission,0.1457,Secure transmission technology based on direct modulation with random channel characteristics
93,maribor,0.1454, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
669,better singularity,0.1451,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1609,pnn,0.145,Massively scalable wavelength diverse integrated photonic linear neuron
871,edp sciences,0.1448,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
1535,global pandemic,0.1447,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1251,oﬀensive action,0.1447,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1547,gans,0.1443,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
848,ldb,0.1443,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1489,efﬁcient,0.1443,Neuromorphic computing for attitude estimation onboard quadrotors
933,strong personalization,0.1439,Management of tools in digital manufacturing - A case study
1010,communications technology planning,0.1438,Multi-Dimensional Data Compression and Query Processing in Array Databases
670,different techniques,0.1436,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1073,primal,0.1428,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
653,adjacency matrix,0.1427,Learning tree structures from leaves for particle decay reconstruction
1252,pipeline operating systems,0.1427,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1595,art precision,0.1426,Particle-based fast jet simulation at the LHC with variational autoencoders
251,hnns,0.1423,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1574,gas pressure,0.1422,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
872,decision,0.1421,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
511,cadi ayyad university,0.1416,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1011,specialized applications,0.1415,Multi-Dimensional Data Compression and Query Processing in Array Databases
30,background events,0.1413,Improving parametric neural networks for highenergy physics (and beyond)
1074,baptiste caillau,0.1411,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
473,itm web,0.1408,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
1331,intuitive,0.1403,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
531,pca,0.1402,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1410,octree,0.1401,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
830,bipartite graph,0.14,Deep learning via message passing algorithms based on belief propagation
131,unloading policy,0.14," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
571,components,0.1397,Non-negative Matrix Factorization for Dimensionality Reduction
31,theoretical assumptions,0.1394,Improving parametric neural networks for highenergy physics (and beyond)
808,linear system,0.1393,superconducting nanowire-based architecture for neuromorphic computing
1253,only nuclear power plant,0.1393,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1511,realistic analog,0.1389,"Advantages of binary stochastic synapses for hardware spiking neural networks with realistic
memristors"
512,message,0.1389,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
330,duplicates,0.1388,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
288,classiﬁcation,0.1387,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
1575,cheaper gravity,0.1384,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
32,recent method,0.1383,Improving parametric neural networks for highenergy physics (and beyond)
1651,features,0.1382,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
572,paatero,0.1375,Non-negative Matrix Factorization for Dimensionality Reduction
1193,ubiquitous application,0.1374,Problems and solutions regarding generalized functional safety in cyberspace
950,ict,0.1369,How to apply the ERP model for Smart Mining?
393,disconnectivity graphs,0.1367,Subaging in underparametrized deep neural networks 
73,days,0.1366,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
513,peg algorithm,0.1365,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
372,jongmin lee1,0.1362,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
849,isp mode test,0.136,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
514,specific operators,0.136,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
252,jian fu zhang5,0.1358,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
850,key feature,0.1358,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1130,potential,0.1357,Multilevel minimization for deep residual networks
515,various key performances,0.1357,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
591,complex problems,0.1353,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
809,snns,0.1352,superconducting nanowire-based architecture for neuromorphic computing
1490,board,0.1349,Neuromorphic computing for attitude estimation onboard quadrotors
1131,necessary approximation properties,0.1347,Multilevel minimization for deep residual networks
1274,creative commons attribution license,0.1346,Secure transmission technology based on direct modulation with random channel characteristics
51,lengthy adjudication process,0.1346,Audiogram Digitization Tool for Audiological Reports
1371,inconel,0.1343,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1332,art iqa methods,0.1342,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
52,signiﬁcant effort,0.134,Audiogram Digitization Tool for Audiological Reports
309,manhattan distance,0.1338,Metric learning for kernel ridge regression: assessment of molecular similarity
132,move operators,0.1337," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1411,preprocessor,0.1336,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
5,ml type,0.1335,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
733,yau,0.1335,Numerical metrics for complete intersection and Kreuzer–Skarke Calabi–Yau manifolds
750,comput,0.1332,Convolutional neural networks with radio-frequency spintronic nano-devices
432,local bijective transformations,0.1328,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
74,error distributions,0.1325,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1313,erties,0.1325,Implicit privacy preservation: a framework based on data generation
671,putational system,0.1325,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
810,algorithmic parameters,0.1324,superconducting nanowire-based architecture for neuromorphic computing
310,discrete optimisation,0.1319,Metric learning for kernel ridge regression: assessment of molecular similarity
1536,player origami game,0.1315,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
6,handover,0.1312,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
851,system lsi division,0.1312,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
433,important class,0.1312,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
592,opt operator,0.131,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1235,uneven communication,0.1308,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
974,aot,0.1306,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1194,cct,0.1304,Problems and solutions regarding generalized functional safety in cyberspace
1351,soas,0.1304,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
989,simulation framework,0.1303,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1314,credit evaluation,0.1302,Implicit privacy preservation: a framework based on data generation
1092,candidate points,0.13,Goal-oriented adaptive sampling under random field modelling of response probability distributions
7,simulators,0.13,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
331,fault,0.1298,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
951,new model,0.1297,How to apply the ERP model for Smart Mining?
272,universe,0.1296,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
934,delivery,0.1293,Management of tools in digital manufacturing - A case study
53,ottawa,0.1291,Audiogram Digitization Tool for Audiological Reports
231,signal reconstructions,0.1289,Detection of Cluster Anomalies With ML Techniques
1352,cascade,0.1288,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
672,high convergence speeds,0.1288,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
474,list,0.1288,A framework for recommending tourist attractions using deep learning and association rule mining-based methods
691,larger effective dimension,0.1287,Quantum neural networks force fields generation
1211,optical engineering,0.1286,Physical layer security techniques for data transmission for future wireless networks
289,ann,0.1279,Explainable Computer-Aided Detection of Obstructive Sleep Apnea and Depression
133,scale instances,0.1278," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1171,majority,0.1277,Concretely efficient secure multi-party computation protocols: survey and more
414,activity,0.1277,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1075,de vision par,0.1275,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
1132,diﬀerent strategies,0.1272,Multilevel minimization for deep residual networks
1652,image compression,0.127,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
990,derivative cost function,0.1267,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
831,wise ones,0.1264,Deep learning via message passing algorithms based on belief propagation
1610,incoherent operation,0.1264,Massively scalable wavelength diverse integrated photonic linear neuron
494,hassan first,0.1263,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
1633,helmholtz,0.1263,Learning torsional eye movements through active efficient coding
673,general stewart platform,0.1257,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
692,specific software libraries,0.1255,Quantum neural networks force fields generation
111,zhiqiang pang,0.1255," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
232,monoliths,0.1255,Detection of Cluster Anomalies With ML Techniques
1212,information network,0.1255,Physical layer security techniques for data transmission for future wireless networks
1275,time pad,0.125,Secure transmission technology based on direct modulation with random channel characteristics
153,large numbers,0.1249, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
674,5dof,0.1247,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
1611,high index contrast,0.1246,Massively scalable wavelength diverse integrated photonic linear neuron
189,116329gb,0.1245,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1548,abstract,0.1244,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
8,omar abdul,0.1241,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
190,ted2021,0.1239,Carbon Footprint vs Energy Optimization in IoT Network Deployments
751,crossbar array,0.1239,Convolutional neural networks with radio-frequency spintronic nano-devices
394,unique exponent,0.1238,Subaging in underparametrized deep neural networks 
516,power ratio,0.1238,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1172,institute,0.1237,Concretely efficient secure multi-party computation protocols: survey and more
1452,jakarta,0.1233,Ant colony optimization with semi random initialization for nurse rostering problem
1470,volume,0.1232,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
191,maximum lifetime,0.123,Carbon Footprint vs Energy Optimization in IoT Network Deployments
1428,pricewaterhousecoopers network,0.123,Development of an advanced MES for the simulation and optimization of industry 4.0 process
1076,optimization problem,0.1228,Robust classification with feature selection using an application of the Douglas-Rachford splitting algorithm
551,new features,0.1225,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
1113,edp sciences,0.1224,Box-constrained optimization for minimax supervised learning
1035,ronal oscillations,0.122,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
935,time feedback,0.122,Management of tools in digital manufacturing - A case study
451,components,0.1217,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
209,many applications,0.1216,Neural network training with highly incomplete medical datasets
9,performance degradation,0.1213,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1133,edp sciences,0.1211,Multilevel minimization for deep residual networks
373,speciﬁc directive,0.121,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
134,available channels,0.121," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
532,spectral characteristics,0.1209,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1276,state information,0.1205,Secure transmission technology based on direct modulation with random channel characteristics
192,several environmental variables,0.1205,Carbon Footprint vs Energy Optimization in IoT Network Deployments
273,agile manner,0.1204,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
873,maker,0.1198,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
975,proﬁles,0.1192,Method for Profile-Guided Optimization of Android Applications Using Random Forest
1195,speciﬁc,0.1191,Problems and solutions regarding generalized functional safety in cyberspace
395,licence,0.1189,Subaging in underparametrized deep neural networks 
991,λd,0.1185,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
1576,further distribution,0.1185,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
94,ern society,0.1182, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
54,other tests,0.1181,Audiogram Digitization Tool for Audiological Reports
1393,heat transfer,0.1181,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1471,modiﬁed deferred acceptance,0.1178,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
832,riccardo zecchina1,0.1175,Deep learning via message passing algorithms based on belief propagation
1472,digital object identifier,0.1171,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
573,index terms,0.1171,Non-negative Matrix Factorization for Dimensionality Reduction
350,creative commons attribution,0.1169,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1453,pheromone value,0.1168,Ant colony optimization with semi random initialization for nurse rostering problem
135,problem,0.1166," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
1254,general model,0.1164,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1353,massive data,0.1164,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
1653,further distribution,0.1163,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
1134,rmtr,0.116,Multilevel minimization for deep residual networks
593,openmp,0.1158,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
374,1department,0.1156,GhostLeg: Selective Memory Coalescing for Secure GPU Architecture
874,global economy,0.1153,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
1114,surveys,0.1152,Box-constrained optimization for minimax supervised learning
811,hardware dependencies,0.115,superconducting nanowire-based architecture for neuromorphic computing
75,severe consequences,0.115,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
415,small fraction,0.1149,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
10,universiti teknologi malaysia,0.1149,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1473,economic informatics,0.1148,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
154,bottleneck,0.1148, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
1196,dhr,0.1145,Problems and solutions regarding generalized functional safety in cyberspace
396,göttingen,0.1142,Subaging in underparametrized deep neural networks 
1577,zeldovich,0.1142,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
434,idea,0.114,RG-Flow: a hierarchical and explainable flow model based on renormalization group and sparse prior
55,excessive exposure,0.114,Audiogram Digitization Tool for Audiological Reports
675,stiffness,0.1137,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
351,accuracy rates,0.1137,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1429,centralized dialogue,0.1131,Development of an advanced MES for the simulation and optimization of industry 4.0 process
654,composition laws,0.1131,Learning tree structures from leaves for particle decay reconstruction
397,carolina herrera segura1,0.1131,Subaging in underparametrized deep neural networks 
1430,iiot layer,0.1128,Development of an advanced MES for the simulation and optimization of industry 4.0 process
833,reinforcement term,0.1124,Deep learning via message passing algorithms based on belief propagation
1354,arbitrary number,0.1123,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
332,higher residual energy level,0.1121,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
233,lightweight protocols,0.1116,Detection of Cluster Anomalies With ML Techniques
609,transmission line losses,0.1113,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
552,ing fuel costs,0.111,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
